subject,level,subtopic,question,option_a,option_b,option_c,option_d,answer_index
math,easy,algebra,[Math | Algebra | Easy] Compute: 3 + 2 = ?,3,6,8,5,3
math,easy,algebra,[Math | Algebra | Easy] Compute: 4 + 3 = ?,5,8,10,7,3
math,easy,algebra,[Math | Algebra | Easy] Compute: 5 + 4 = ?,7,10,12,9,3
math,easy,algebra,[Math | Algebra | Easy] Compute: 6 + 5 = ?,9,12,14,11,3
math,easy,algebra,[Math | Algebra | Easy] Compute: 7 + 6 = ?,11,14,16,13,3
math,medium,algebra,[Math | Algebra | Medium] Compute: 8 + 3 = ?,9,12,14,11,3
math,medium,algebra,[Math | Algebra | Medium] Compute: 9 + 4 = ?,11,14,16,13,3
math,medium,algebra,[Math | Algebra | Medium] Compute: 10 + 5 = ?,13,16,18,15,3
math,medium,algebra,[Math | Algebra | Medium] Compute: 11 + 6 = ?,15,18,20,17,3
math,medium,algebra,[Math | Algebra | Medium] Compute: 12 + 7 = ?,17,20,22,19,3
math,hard,algebra,[Math | Algebra | Hard] Compute: 13 + 5 = ?,16,19,21,18,3
math,hard,algebra,[Math | Algebra | Hard] Compute: 14 + 6 = ?,18,21,23,20,3
math,hard,algebra,[Math | Algebra | Hard] Compute: 15 + 7 = ?,20,23,25,22,3
math,hard,algebra,[Math | Algebra | Hard] Compute: 16 + 8 = ?,22,25,27,24,3
math,hard,algebra,[Math | Algebra | Hard] Compute: 17 + 9 = ?,24,27,29,26,3
math,master,algebra,[Math | Algebra | Master] Compute: 18 + 7 = ?,23,26,28,25,3
math,master,algebra,[Math | Algebra | Master] Compute: 19 + 8 = ?,25,28,30,27,3
math,master,algebra,[Math | Algebra | Master] Compute: 3 + 9 = ?,10,13,15,12,3
math,master,algebra,[Math | Algebra | Master] Compute: 4 + 10 = ?,12,15,17,14,3
math,master,algebra,[Math | Algebra | Master] Compute: 5 + 11 = ?,14,17,19,16,3
math,expert,algebra,[Math | Algebra | Expert] Compute: 6 + 11 = ?,15,18,20,17,3
math,expert,algebra,[Math | Algebra | Expert] Compute: 7 + 12 = ?,17,20,22,19,3
math,expert,algebra,[Math | Algebra | Expert] Compute: 8 + 13 = ?,19,22,24,21,3
math,expert,algebra,[Math | Algebra | Expert] Compute: 9 + 14 = ?,21,24,26,23,3
math,expert,algebra,[Math | Algebra | Expert] Compute: 10 + 15 = ?,23,26,28,25,3
math,easy,algebra:linear-equations,[Math | Algebra → Linear Equations | Easy] Compute: 11 + 2 = ?,11,14,16,13,3
math,easy,algebra:linear-equations,[Math | Algebra → Linear Equations | Easy] Compute: 12 + 3 = ?,13,16,18,15,3
math,easy,algebra:linear-equations,[Math | Algebra → Linear Equations | Easy] Compute: 13 + 4 = ?,15,18,20,17,3
math,easy,algebra:linear-equations,[Math | Algebra → Linear Equations | Easy] Compute: 14 + 5 = ?,17,20,22,19,3
math,easy,algebra:linear-equations,[Math | Algebra → Linear Equations | Easy] Compute: 15 + 6 = ?,19,22,24,21,3
math,medium,algebra:linear-equations,[Math | Algebra → Linear Equations | Medium] Compute: 16 + 3 = ?,17,20,22,19,3
math,medium,algebra:linear-equations,[Math | Algebra → Linear Equations | Medium] Compute: 17 + 4 = ?,19,22,24,21,3
math,medium,algebra:linear-equations,[Math | Algebra → Linear Equations | Medium] Compute: 18 + 5 = ?,21,24,26,23,3
math,medium,algebra:linear-equations,[Math | Algebra → Linear Equations | Medium] Compute: 19 + 6 = ?,23,26,28,25,3
math,medium,algebra:linear-equations,[Math | Algebra → Linear Equations | Medium] Compute: 3 + 7 = ?,8,11,13,10,3
math,hard,algebra:linear-equations,[Math | Algebra → Linear Equations | Hard] Compute: 4 + 5 = ?,7,10,12,9,3
math,hard,algebra:linear-equations,[Math | Algebra → Linear Equations | Hard] Compute: 5 + 6 = ?,9,12,14,11,3
math,hard,algebra:linear-equations,[Math | Algebra → Linear Equations | Hard] Compute: 6 + 7 = ?,11,14,16,13,3
math,hard,algebra:linear-equations,[Math | Algebra → Linear Equations | Hard] Compute: 7 + 8 = ?,13,16,18,15,3
math,hard,algebra:linear-equations,[Math | Algebra → Linear Equations | Hard] Compute: 8 + 9 = ?,15,18,20,17,3
math,master,algebra:linear-equations,[Math | Algebra → Linear Equations | Master] Compute: 9 + 7 = ?,14,17,19,16,3
math,master,algebra:linear-equations,[Math | Algebra → Linear Equations | Master] Compute: 10 + 8 = ?,16,19,21,18,3
math,master,algebra:linear-equations,[Math | Algebra → Linear Equations | Master] Compute: 11 + 9 = ?,18,21,23,20,3
math,master,algebra:linear-equations,[Math | Algebra → Linear Equations | Master] Compute: 12 + 10 = ?,20,23,25,22,3
math,master,algebra:linear-equations,[Math | Algebra → Linear Equations | Master] Compute: 13 + 11 = ?,22,25,27,24,3
math,expert,algebra:linear-equations,[Math | Algebra → Linear Equations | Expert] Compute: 14 + 11 = ?,23,26,28,25,3
math,expert,algebra:linear-equations,[Math | Algebra → Linear Equations | Expert] Compute: 15 + 12 = ?,25,28,30,27,3
math,expert,algebra:linear-equations,[Math | Algebra → Linear Equations | Expert] Compute: 16 + 13 = ?,27,30,32,29,3
math,expert,algebra:linear-equations,[Math | Algebra → Linear Equations | Expert] Compute: 17 + 14 = ?,29,32,34,31,3
math,expert,algebra:linear-equations,[Math | Algebra → Linear Equations | Expert] Compute: 18 + 15 = ?,31,34,36,33,3
math,easy,algebra:polynomials,[Math | Algebra → Polynomials | Easy] Compute: 19 + 2 = ?,19,22,24,21,3
math,easy,algebra:polynomials,[Math | Algebra → Polynomials | Easy] Compute: 3 + 3 = ?,4,7,9,6,3
math,easy,algebra:polynomials,[Math | Algebra → Polynomials | Easy] Compute: 4 + 4 = ?,6,9,11,8,3
math,easy,algebra:polynomials,[Math | Algebra → Polynomials | Easy] Compute: 5 + 5 = ?,8,11,13,10,3
math,easy,algebra:polynomials,[Math | Algebra → Polynomials | Easy] Compute: 6 + 6 = ?,10,13,15,12,3
math,medium,algebra:polynomials,[Math | Algebra → Polynomials | Medium] Compute: 7 + 3 = ?,8,11,13,10,3
math,medium,algebra:polynomials,[Math | Algebra → Polynomials | Medium] Compute: 8 + 4 = ?,10,13,15,12,3
math,medium,algebra:polynomials,[Math | Algebra → Polynomials | Medium] Compute: 9 + 5 = ?,12,15,17,14,3
math,medium,algebra:polynomials,[Math | Algebra → Polynomials | Medium] Compute: 10 + 6 = ?,14,17,19,16,3
math,medium,algebra:polynomials,[Math | Algebra → Polynomials | Medium] Compute: 11 + 7 = ?,16,19,21,18,3
math,hard,algebra:polynomials,[Math | Algebra → Polynomials | Hard] Compute: 12 + 5 = ?,15,18,20,17,3
math,hard,algebra:polynomials,[Math | Algebra → Polynomials | Hard] Compute: 13 + 6 = ?,17,20,22,19,3
math,hard,algebra:polynomials,[Math | Algebra → Polynomials | Hard] Compute: 14 + 7 = ?,19,22,24,21,3
math,hard,algebra:polynomials,[Math | Algebra → Polynomials | Hard] Compute: 15 + 8 = ?,21,24,26,23,3
math,hard,algebra:polynomials,[Math | Algebra → Polynomials | Hard] Compute: 16 + 9 = ?,23,26,28,25,3
math,master,algebra:polynomials,[Math | Algebra → Polynomials | Master] Compute: 17 + 7 = ?,22,25,27,24,3
math,master,algebra:polynomials,[Math | Algebra → Polynomials | Master] Compute: 18 + 8 = ?,24,27,29,26,3
math,master,algebra:polynomials,[Math | Algebra → Polynomials | Master] Compute: 19 + 9 = ?,26,29,31,28,3
math,master,algebra:polynomials,[Math | Algebra → Polynomials | Master] Compute: 3 + 10 = ?,11,14,16,13,3
math,master,algebra:polynomials,[Math | Algebra → Polynomials | Master] Compute: 4 + 11 = ?,13,16,18,15,3
math,expert,algebra:polynomials,[Math | Algebra → Polynomials | Expert] Compute: 5 + 11 = ?,14,17,19,16,3
math,expert,algebra:polynomials,[Math | Algebra → Polynomials | Expert] Compute: 6 + 12 = ?,16,19,21,18,3
math,expert,algebra:polynomials,[Math | Algebra → Polynomials | Expert] Compute: 7 + 13 = ?,18,21,23,20,3
math,expert,algebra:polynomials,[Math | Algebra → Polynomials | Expert] Compute: 8 + 14 = ?,20,23,25,22,3
math,expert,algebra:polynomials,[Math | Algebra → Polynomials | Expert] Compute: 9 + 15 = ?,22,25,27,24,3
math,easy,algebra:sequences,[Math | Algebra → Sequences | Easy] Compute: 10 + 2 = ?,10,13,15,12,3
math,easy,algebra:sequences,[Math | Algebra → Sequences | Easy] Compute: 11 + 3 = ?,12,15,17,14,3
math,easy,algebra:sequences,[Math | Algebra → Sequences | Easy] Compute: 12 + 4 = ?,14,17,19,16,3
